ds,y
2019-01-01,173.99
2019-01-02,185.49
2019-01-03,184.72
2019-01-04,183.85
2019-01-05,181.07
2019-01-06,185.44
2019-01-07,177.79
2019-01-08,187.4
2019-01-09,191.62
2019-01-10,191.44
2019-01-11,190.92
2019-01-12,196.84
2019-01-13,187.73
2019-01-14,186.49
2019-01-15,182.8
2019-01-16,190.33
2019-01-17,190.59
2019-01-18,206.7
2019-01-19,194.45
2019-01-20,193.68
2019-01-21,180.08
2019-01-22,190.69
2019-01-23,188.84
2019-01-24,196.85
2019-01-25,208.84
2019-01-26,200.1
2019-01-27,198.34
2019-01-28,196.61
2019-01-29,201.38
2019-01-30,200.13
2019-01-31,201.72
2019-02-01,200.21
2019-02-02,202.79
2019-02-03,193.86
2019-02-04,194.7
2019-02-05,196.21
2019-02-06,201.24
2019-02-07,201.48
2019-02-08,196.78
2019-02-09,199.85
2019-02-10,197.23
2019-02-11,195.08
2019-02-12,202.77
2019-02-13,191.11
2019-02-14,204.17
2019-02-15,192.69
2019-02-16,204.69
2019-02-17,185.68
2019-02-18,199.85
2019-02-19,195.72
2019-02-20,210.58
2019-02-21,203.44
2019-02-22,207.2
2019-02-23,208.16
2019-02-24,204.41
2019-02-25,198.78
2019-02-26,199.15
2019-02-27,201.02
2019-02-28,203.2
2019-03-01,204.35
2019-03-02,207.65
2019-03-03,196.09
2019-03-04,195.88
2019-03-05,206.84
2019-03-06,194.71
2019-03-07,200.89
2019-03-08,208.62
2019-03-09,201.68
2019-03-10,201.65
2019-03-11,193.38
2019-03-12,197.66
2019-03-13,201.3
2019-03-14,203.84
2019-03-15,202.59
2019-03-16,212.54
2019-03-17,195.41
2019-03-18,200.05
2019-03-19,204.58
2019-03-20,200.91
2019-03-21,208.74
2019-03-22,211.63
2019-03-23,208.42
2019-03-24,200.35
2019-03-25,190.91
2019-03-26,205.98
2019-03-27,211.9
2019-03-28,216.86
2019-03-29,208.93
2019-03-30,214.91
2019-03-31,211.33
2019-04-01,198.0
2019-04-02,209.4
2019-04-03,195.99
2019-04-04,212.06
2019-04-05,202.48
2019-04-06,203.21
2019-04-07,198.77
2019-04-08,194.69
2019-04-09,200.7
2019-04-10,190.64
2019-04-11,196.19
2019-04-12,209.89
2019-04-13,203.75
2019-04-14,190.0
2019-04-15,195.77
2019-04-16,196.5
2019-04-17,202.93
2019-04-18,198.86
2019-04-19,209.75
2019-04-20,204.1
2019-04-21,195.72
2019-04-22,184.02
2019-04-23,192.83
2019-04-24,203.66
2019-04-25,200.16
2019-04-26,209.13
2019-04-27,199.07
2019-04-28,197.25
2019-04-29,199.57
2019-04-30,201.11
2019-05-01,196.94
2019-05-02,203.61
2019-05-03,208.64
2019-05-04,204.73
2019-05-05,200.62
2019-05-06,196.04
2019-05-07,194.05
2019-05-08,199.75
2019-05-09,206.33
2019-05-10,195.13
2019-05-11,197.32
2019-05-12,190.98
2019-05-13,181.01
2019-05-14,195.83
2019-05-15,202.12
2019-05-16,199.97
2019-05-17,193.35
2019-05-18,192.45
2019-05-19,194.72
2019-05-20,194.96
2019-05-21,202.18
2019-05-22,197.59
2019-05-23,191.86
2019-05-24,201.82
2019-05-25,202.9
2019-05-26,190.02
2019-05-27,201.46
2019-05-28,193.05
2019-05-29,207.39
2019-05-30,199.28
2019-05-31,207.11
2019-06-01,206.36
2019-06-02,197.61
2019-06-03,190.08
2019-06-04,201.01
2019-06-05,191.57
2019-06-06,191.1
2019-06-07,197.1
2019-06-08,206.67
2019-06-09,196.78
2019-06-10,194.35
2019-06-11,199.74
2019-06-12,195.52
2019-06-13,204.17
2019-06-14,197.6
2019-06-15,198.09
2019-06-16,196.68
2019-06-17,189.62
2019-06-18,191.83
2019-06-19,199.79
2019-06-20,204.46
2019-06-21,201.48
2019-06-22,200.4
2019-06-23,195.83
2019-06-24,200.17
2019-06-25,199.01
2019-06-26,207.03
2019-06-27,202.6
2019-06-28,205.79
2019-06-29,212.48
2019-06-30,198.8
2019-07-01,196.24
2019-07-02,199.37
2019-07-03,201.89
2019-07-04,205.5
2019-07-05,211.08
2019-07-06,199.24
2019-07-07,192.59
2019-07-08,196.45
2019-07-09,214.5
2019-07-10,204.97
2019-07-11,211.53
2019-07-12,197.22
2019-07-13,204.92
2019-07-14,205.75
2019-07-15,202.77
2019-07-16,200.34
2019-07-17,203.11
2019-07-18,204.37
2019-07-19,208.9
2019-07-20,209.31
2019-07-21,198.27
2019-07-22,199.77
2019-07-23,215.27
2019-07-24,197.16
2019-07-25,204.15
2019-07-26,205.11
2019-07-27,209.41
2019-07-28,198.1
2019-07-29,187.54
2019-07-30,205.73
2019-07-31,202.02
2019-08-01,193.35
2019-08-02,196.69
2019-08-03,199.02
2019-08-04,189.03
2019-08-05,191.32
2019-08-06,204.14
2019-08-07,202.06
2019-08-08,199.21
