ds,y
2019-01-01,158.17
2019-01-02,168.74
2019-01-03,165.63
2019-01-04,159.51
2019-01-05,150.96
2019-01-06,161.28
2019-01-07,158.58
2019-01-08,166.28
2019-01-09,170.13
2019-01-10,167.34
2019-01-11,161.5
2019-01-12,160.68
2019-01-13,159.51
2019-01-14,162.83
2019-01-15,159.5
2019-01-16,166.84
2019-01-17,165.12
2019-01-18,174.45
2019-01-19,158.53
2019-01-20,165.25
2019-01-21,158.42
2019-01-22,167.98
2019-01-23,167.5
2019-01-24,172.69
2019-01-25,174.97
2019-01-26,162.0
2019-01-27,167.54
2019-01-28,170.55
2019-01-29,174.45
2019-01-30,173.8
2019-01-31,172.64
2019-02-01,169.3
2019-02-02,165.26
2019-02-03,163.73
2019-02-04,168.15
2019-02-05,168.52
2019-02-06,172.68
2019-02-07,169.86
2019-02-08,160.01
2019-02-09,156.23
2019-02-10,160.15
2019-02-11,162.19
2019-02-12,168.24
2019-02-13,158.56
2019-02-14,167.41
2019-02-15,152.49
2019-02-16,157.21
2019-02-17,147.93
2019-02-18,164.85
2019-02-19,161.6
2019-02-20,175.47
2019-02-21,167.68
2019-02-22,166.42
2019-02-23,162.1
2019-02-24,166.18
2019-02-25,162.81
2019-02-26,163.39
2019-02-27,165.92
2019-02-28,165.76
2019-03-01,165.21
2019-03-02,162.3
2019-03-03,159.05
2019-03-04,163.03
2019-03-05,171.95
2019-03-06,161.87
2019-03-07,164.5
2019-03-08,165.6
2019-03-09,153.56
2019-03-10,159.86
2019-03-11,156.86
2019-03-12,160.13
2019-03-13,163.71
2019-03-14,163.59
2019-03-15,157.57
2019-03-16,160.54
2019-03-17,153.05
2019-03-18,161.86
2019-03-19,166.21
2019-03-20,164.45
2019-03-21,169.68
2019-03-22,167.96
2019-03-23,160.47
2019-03-24,161.25
2019-03-25,155.17
2019-03-26,168.72
2019-03-27,173.73
2019-03-28,175.7
2019-03-29,163.69
2019-03-30,162.56
2019-03-31,165.57
2019-04-01,161.46
2019-04-02,170.53
2019-04-03,159.65
2019-04-04,171.07
2019-04-05,158.32
2019-04-06,153.82
2019-04-07,157.36
2019-04-08,158.91
2019-04-09,164.41
2019-04-10,156.96
2019-04-11,160.55
