index,type,direction,confidence,reason,timestamp,series
630,sudden,negative,0.95,sharp drop from 0.2 to -20.8,2021-09-22,graph_i_neg_yr2q3
1722,gradual,positive,0.9,steady rise culminating in peak at 9.3,2024-09-18,graph_i_neg_yr2q3
462,sudden,negative,0.85,drop from 0.6 to -0.1 after sustained growth,2021-04-07,graph_i_neg_yr2q3
756,gradual,positive,0.88,consistent upward trend ending at 0.9,2022-01-26,graph_i_neg_yr2q3
357,sudden,positive,0.92,significant jump from -0.1 to 6.6,2020-12-23,graph_i_neg_yr2q3
294,sudden,positive,0.85,sharp rise from -3.6 to 10.9,2020-10-21,graph_ii_q4up_q1down
630,gradual,negative,0.78,drop after sustained increase,2021-09-22,graph_ii_q4up_q1down
651,sudden,positive,0.92,rapid jump from -2.4 to 21.5,2021-10-13,graph_ii_q4up_q1down
1386,gradual,positive,0.75,steady climb over multiple points,2023-10-18,graph_ii_q4up_q1down
1470,sudden,negative,0.9,sharp decline from peak 52.0 to 31.5,2024-01-10,graph_ii_q4up_q1down
126,sudden,positive,0.85,sharp rise from -3.1 to 13.9,2020-05-06,graph_iii_neg_q2up
462,sudden,positive,0.82,rapid increase from -1.3 to 17.5,2021-04-07,graph_iii_neg_q2up
840,sudden,positive,0.88,jump from -1.5 to 17.6,2022-04-20,graph_iii_neg_q2up
924,gradual,negative,0.75,steady decline after peak at 903,2022-07-13,graph_iii_neg_q2up
1197,sudden,positive,0.86,sharp spike from 2.7 to 20.7,2023-04-12,graph_iii_neg_q2up
1449,gradual,negative,0.78,slow drop before recovery at 1470,2023-12-20,graph_iii_neg_q2up
1554,sudden,positive,0.9,major peak from 2.8 to 22.8,2024-04-03,graph_iii_neg_q2up
