ds,y
2019-01-01,100.9934
2019-01-02,102.2167
2019-01-03,104.5155
2019-01-04,104.7907
2019-01-05,98.8205
2019-01-06,97.3447
2019-01-07,101.6977
2019-01-08,102.5665
2019-01-09,102.5848
2019-01-10,105.3344
2019-01-11,101.8452
2019-01-12,99.3827
2019-01-13,99.32
2019-01-14,95.7333
2019-01-15,98.5995
2019-01-16,103.4137
2019-01-17,103.2348
2019-01-18,104.408
2019-01-19,99.5017
2019-01-20,97.0108
2019-01-21,103.486
2019-01-22,102.5879
2019-01-23,105.6583
2019-01-24,103.3906
2019-01-25,103.6648
2019-01-26,102.5077
2019-01-27,98.4954
2019-01-28,102.2617
2019-01-29,102.7871
2019-01-30,105.882
2019-01-31,105.9716
2019-02-01,109.3856
2019-02-02,103.1787
2019-02-03,99.5938
2019-02-04,104.0591
2019-02-05,102.4419
2019-02-06,107.7696
2019-02-07,104.1333
2019-02-08,103.8931
2019-02-09,104.4584
2019-02-10,104.0356
2019-02-11,103.5963
2019-02-12,105.4818
2019-02-13,107.5688
2019-02-14,105.9042
2019-02-15,105.9076
2019-02-16,103.9303
2019-02-17,105.4486
2019-02-18,104.7051
2019-02-19,102.9397
2019-02-20,109.5601
2019-02-21,108.8199
2019-02-22,106.7102
2019-02-23,106.7793
2019-02-24,106.0881
2019-02-25,106.5594
2019-02-26,105.4534
2019-02-27,108.9464
2019-02-28,110.8923
2019-03-01,110.6413
2019-03-02,105.2101
2019-03-03,104.2535
2019-03-04,103.069
2019-03-05,105.3101
2019-03-06,111.7464
2019-03-07,113.4843
2019-03-08,109.0737
2019-03-09,108.6884
2019-03-10,105.8463
2019-03-11,104.4746
2019-03-12,108.8935
2019-03-13,113.6504
2019-03-14,111.1379
2019-03-15,112.7694
2019-03-16,101.8487
2019-03-17,107.1581
2019-03-18,106.3145
2019-03-19,107.9325
2019-03-20,111.1018
2019-03-21,107.5624
2019-03-22,109.5128
2019-03-23,108.0984
2019-03-24,108.7498
2019-03-25,105.3674
2019-03-26,107.1608
2019-03-27,110.1457
2019-03-28,113.5829
2019-03-29,110.8078
2019-03-30,106.5063
2019-03-31,106.9858
2019-04-01,106.7468
2019-04-02,110.8472
2019-04-03,109.8607
2019-04-04,111.1958
2019-04-05,109.4485
2019-04-06,104.7047
2019-04-07,106.6007
2019-04-08,107.1075
2019-04-09,108.9363
2019-04-10,110.7952
2019-04-11,109.0035
2019-04-12,109.3579
2019-04-13,106.8963
2019-04-14,104.3376
2019-04-15,106.18
2019-04-16,109.635
2019-04-17,114.9214
2019-04-18,112.0517
2019-04-19,110.5665
2019-04-20,107.2689
2019-04-21,101.9246
2019-04-22,106.2536
2019-04-23,108.7355
2019-04-24,115.8478
2019-04-25,111.0744
2019-04-26,110.3954
2019-04-27,107.0738
2019-04-28,103.1347
2019-04-29,108.2869
2019-04-30,109.7983
2019-05-01,112.1677
2019-05-02,109.2897
2019-05-03,112.2324
2019-05-04,103.9592
2019-05-05,106.2509
2019-05-06,109.9728
2019-05-07,105.8898
2019-05-08,109.0152
2019-05-09,110.8559
2019-05-10,107.9542
2019-05-11,103.1822
2019-05-12,104.7214
2019-05-13,102.961
2019-05-14,108.2985
2019-05-15,107.7764
2019-05-16,113.2111
2019-05-17,106.8366
2019-05-18,105.0689
2019-05-19,105.6285
2019-05-20,102.029
2019-05-21,107.1994
2019-05-22,111.611
2019-05-23,106.2663
2019-05-24,108.131
2019-05-25,105.5804
2019-05-26,104.9019
2019-05-27,101.3429
2019-05-28,103.4193
2019-05-29,109.3461
2019-05-30,109.3707
2019-05-31,107.5485
2019-06-01,105.0297
2019-06-02,101.2451
2019-06-03,103.5392
2019-06-04,105.8954
2019-06-05,106.114
2019-06-06,111.7405
2019-06-07,107.2193
2019-06-08,101.1706
2019-06-09,103.127
2019-06-10,100.3268
2019-06-11,106.0779
2019-06-12,109.0476
2019-06-13,105.5487
2019-06-14,107.3733
2019-06-15,103.5476
2019-06-16,102.6212
2019-06-17,105.2274
2019-06-18,103.1654
2019-06-19,104.3705
2019-06-20,104.5539
2019-06-21,102.9534
2019-06-22,101.7023
2019-06-23,100.79
2019-06-24,101.1143
2019-06-25,104.4344
2019-06-26,105.0248
2019-06-27,108.3581
2019-06-28,103.1714
2019-06-29,106.4104
2019-06-30,100.4707
2019-07-01,97.9567
2019-07-02,99.7471
2019-07-03,105.0716
2019-07-04,104.1113
2019-07-05,104.2355
2019-07-06,101.0231
2019-07-07,98.1805
2019-07-08,97.0846
2019-07-09,97.967
2019-07-10,102.3225
2019-07-11,105.3812
2019-07-12,102.3474
2019-07-13,96.6987
2019-07-14,97.7882
2019-07-15,98.667
2019-07-16,98.3498
2019-07-17,102.6468
2019-07-18,102.9119
2019-07-19,98.7639
2019-07-20,99.0402
2019-07-21,97.7019
2019-07-22,99.2053
2019-07-23,101.3727
2019-07-24,98.7364
2019-07-25,100.0775
2019-07-26,101.243
2019-07-27,98.5211
2019-07-28,96.7853
2019-07-29,103.9258
2019-07-30,99.5945
2019-07-31,102.9573
2019-08-01,103.0626
2019-08-02,100.7245
2019-08-03,96.0793
2019-08-04,96.4973
2019-08-05,93.9069
2019-08-06,97.2196
2019-08-07,98.9646
2019-08-08,100.5762
2019-08-09,103.318
2019-08-10,92.2515
2019-08-11,95.6376
2019-08-12,91.5226
2019-08-13,96.0549
2019-08-14,101.4289
2019-08-15,99.8672
2019-08-16,95.8699
2019-08-17,93.9031
2019-08-18,94.983
2019-08-19,92.6573
2019-08-20,96.8131
2019-08-21,98.7353
2019-08-22,97.8405
2019-08-23,101.7305
2019-08-24,96.031
2019-08-25,89.0155
2019-08-26,93.9456
2019-08-27,94.5241
2019-08-28,99.8295
2019-08-29,97.0523
2019-08-30,96.7202
2019-08-31,95.2937
2019-09-01,94.3316
2019-09-02,90.7203
2019-09-03,94.7409
2019-09-04,96.7511
2019-09-05,96.9214
2019-09-06,100.0857
2019-09-07,94.7135
2019-09-08,89.7128
2019-09-09,94.6059
2019-09-10,99.3185
2019-09-11,99.4454
2019-09-12,94.884
2019-09-13,95.2963
2019-09-14,96.1627
2019-09-15,90.5601
2019-09-16,93.4144
2019-09-17,96.3958
2019-09-18,95.3147
2019-09-19,97.6076
2019-09-20,89.6022
2019-09-21,91.4162
2019-09-22,91.3225
2019-09-23,89.8995
2019-09-24,97.9959
2019-09-25,94.2092
2019-09-26,96.7639
2019-09-27,96.2799
2019-09-28,96.2976
2019-09-29,88.9225
2019-09-30,94.7045
2019-10-01,94.7511
2019-10-02,95.1226
2019-10-03,98.6008
2019-10-04,96.4658
2019-10-05,92.2804
2019-10-06,92.0162
2019-10-07,91.7065
2019-10-08,95.0733
2019-10-09,98.542
2019-10-10,100.9974
2019-10-11,93.7572
2019-10-12,97.9286
2019-10-13,88.1706
2019-10-14,92.3881
2019-10-15,96.2538
2019-10-16,98.027
2019-10-17,96.8435
2019-10-18,96.0964
2019-10-19,92.9725
2019-10-20,91.208
2019-10-21,94.7189
2019-10-22,96.1352
2019-10-23,96.439
2019-10-24,100.2637
2019-10-25,97.5185
2019-10-26,95.991
2019-10-27,94.0684
2019-10-28,91.7995
2019-10-29,94.7538
2019-10-30,99.7875
2019-10-31,100.1684
2019-11-01,97.3602
2019-11-02,95.1129
2019-11-03,95.892
2019-11-04,92.8164
2019-11-05,97.5248
2019-11-06,98.4593
2019-11-07,99.0971
2019-11-08,100.1983
2019-11-09,97.1416
2019-11-10,95.5899
2019-11-11,97.2501
2019-11-12,97.1256
2019-11-13,100.8936
2019-11-14,99.5909
2019-11-15,99.3408
2019-11-16,95.9348
2019-11-17,94.8735
2019-11-18,96.5584
2019-11-19,96.188
2019-11-20,104.4672
2019-11-21,98.9637
2019-11-22,97.0398
2019-11-23,99.2982
2019-11-24,97.0607
2019-11-25,97.4249
2019-11-26,99.9003
2019-11-27,101.0874
2019-11-28,100.0208
2019-11-29,100.4692
2019-11-30,96.4867
2019-12-01,98.2961
2019-12-02,96.7602
