ds,y
2019-01-01,201.1051
2019-01-02,204.1215
2019-01-03,216.7445
2019-01-04,210.527
2019-01-05,196.8905
2019-01-06,191.9851
2019-01-07,186.7007
2019-01-08,197.2391
2019-01-09,210.8222
2019-01-10,211.1853
2019-01-11,213.3183
2019-01-12,196.0385
2019-01-13,175.8508
2019-01-14,185.2828
2019-01-15,199.5344
2019-01-16,201.8138
2019-01-17,216.8834
2019-01-18,201.427
2019-01-19,185.7478
2019-01-20,180.8135
2019-01-21,180.5934
2019-01-22,200.1876
2019-01-23,209.5678
2019-01-24,208.5248
2019-01-25,198.7828
2019-01-26,189.3293
2019-01-27,175.6508
2019-01-28,183.85
2019-01-29,191.7291
2019-01-30,207.6896
2019-01-31,212.9091
2019-02-01,200.1414
2019-02-02,187.9072
2019-02-03,180.3909
2019-02-04,185.7703
2019-02-05,196.916
2019-02-06,207.2486
2019-02-07,209.5475
2019-02-08,194.7218
2019-02-09,178.0353
2019-02-10,173.2544
2019-02-11,193.9657
2019-02-12,192.6319
2019-02-13,200.8883
2019-02-14,208.6046
2019-02-15,198.4673
2019-02-16,187.4184
2019-02-17,179.376
2019-02-18,175.6082
2019-02-19,187.6684
2019-02-20,206.8292
2019-02-21,201.1278
2019-02-22,197.7363
2019-02-23,181.2286
2019-02-24,176.9693
2019-02-25,181.1536
2019-02-26,187.0597
2019-02-27,205.7816
2019-02-28,200.9056
2019-03-01,192.3212
2019-03-02,181.3203
2019-03-03,174.4194
2019-03-04,173.4936
2019-03-05,176.347
2019-03-06,196.5451
2019-03-07,203.5747
2019-03-08,196.2234
2019-03-09,181.2635
2019-03-10,183.5093
2019-03-11,177.7791
2019-03-12,183.5312
2019-03-13,198.4002
2019-03-14,202.6963
2019-03-15,195.5587
2019-03-16,182.7176
2019-03-17,173.5376
2019-03-18,171.8586
2019-03-19,191.6602
2019-03-20,201.936
2019-03-21,200.0165
2019-03-22,189.8017
2019-03-23,181.536
2019-03-24,170.2302
2019-03-25,168.5493
2019-03-26,187.9866
2019-03-27,195.3098
2019-03-28,207.327
2019-03-29,176.596
2019-03-30,181.9259
2019-03-31,166.3371
2019-04-01,167.4898
2019-04-02,184.8098
2019-04-03,205.962
2019-04-04,192.3541
2019-04-05,192.8977
2019-04-06,180.2021
2019-04-07,169.6162
2019-04-08,167.6114
2019-04-09,180.7258
2019-04-10,202.0286
2019-04-11,195.2569
2019-04-12,188.7212
2019-04-13,176.6842
2019-04-14,169.7966
2019-04-15,175.451
2019-04-16,187.1815
2019-04-17,190.8379
2019-04-18,189.9092
2019-04-19,188.3961
2019-04-20,167.4181
2019-04-21,160.512
2019-04-22,165.6755
2019-04-23,174.3502
2019-04-24,188.052
2019-04-25,195.6862
2019-04-26,187.4066
2019-04-27,173.7589
2019-04-28,160.7358
2019-04-29,171.4016
2019-04-30,181.301
2019-05-01,180.835
2019-05-02,190.9053
2019-05-03,187.7278
2019-05-04,169.1706
2019-05-05,166.4177
2019-05-06,164.9654
2019-05-07,186.476
2019-05-08,187.2154
2019-05-09,187.2561
2019-05-10,182.6272
2019-05-11,166.4318
2019-05-12,159.5449
2019-05-13,161.0211
2019-05-14,170.832
2019-05-15,190.827
2019-05-16,189.3294
2019-05-17,181.8636
2019-05-18,161.0214
2019-05-19,164.8934
2019-05-20,154.354
2019-05-21,172.8234
2019-05-22,185.4675
2019-05-23,181.1498
2019-05-24,186.1442
2019-05-25,163.8444
2019-05-26,155.8719
2019-05-27,161.5951
2019-05-28,175.633
2019-05-29,186.1271
2019-05-30,183.3909
2019-05-31,178.9679
2019-06-01,164.8167
2019-06-02,160.6415
2019-06-03,164.2944
2019-06-04,171.2246
2019-06-05,183.885
2019-06-06,189.1922
2019-06-07,177.0449
2019-06-08,164.7262
2019-06-09,160.5333
2019-06-10,158.8602
2019-06-11,170.9827
2019-06-12,178.8283
2019-06-13,182.4252
2019-06-14,175.9078
2019-06-15,166.2897
2019-06-16,148.7367
2019-06-17,155.6481
2019-06-18,170.0672
2019-06-19,183.0333
2019-06-20,183.3911
2019-06-21,171.9974
2019-06-22,163.9957
2019-06-23,153.6669
2019-06-24,157.5198
2019-06-25,164.3247
2019-06-26,179.6214
2019-06-27,180.5182
2019-06-28,171.4936
2019-06-29,155.1503
2019-06-30,146.7677
2019-07-01,147.6801
2019-07-02,171.0282
2019-07-03,174.9139
2019-07-04,187.945
2019-07-05,164.2416
2019-07-06,157.6222
2019-07-07,155.4935
2019-07-08,147.914
2019-07-09,159.6397
2019-07-10,177.4556
2019-07-11,180.8526
2019-07-12,170.7099
2019-07-13,154.055
2019-07-14,148.4139
2019-07-15,159.9192
2019-07-16,167.8315
2019-07-17,175.0959
2019-07-18,174.0563
2019-07-19,167.645
2019-07-20,162.4116
2019-07-21,152.084
2019-07-22,143.9848
2019-07-23,158.6532
2019-07-24,175.713
2019-07-25,183.4619
2019-07-26,161.7594
2019-07-27,155.0292
2019-07-28,151.7279
2019-07-29,153.6066
2019-07-30,154.8578
2019-07-31,169.4178
2019-08-01,176.7384
2019-08-02,164.3635
2019-08-03,155.8568
2019-08-04,144.955
2019-08-05,152.7421
2019-08-06,152.6969
2019-08-07,169.4988
2019-08-08,179.1839
2019-08-09,160.7472
2019-08-10,154.6412
2019-08-11,140.9064
2019-08-12,144.5393
2019-08-13,163.232
2019-08-14,173.3658
2019-08-15,176.3485
2019-08-16,158.7651
2019-08-17,152.0911
2019-08-18,143.5014
2019-08-19,149.1332
2019-08-20,161.7146
2019-08-21,159.363
2019-08-22,169.6216
2019-08-23,163.1193
2019-08-24,151.4523
2019-08-25,139.0367
2019-08-26,141.4679
2019-08-27,155.4082
2019-08-28,168.5217
2019-08-29,177.1343
2019-08-30,159.1424
2019-08-31,149.6215
2019-09-01,136.9689
2019-09-02,150.3267
2019-09-03,151.0265
2019-09-04,166.5196
2019-09-05,173.9388
2019-09-06,155.7306
2019-09-07,141.9265
2019-09-08,141.0417
2019-09-09,138.6504
2019-09-10,159.1502
2019-09-11,161.3678
2019-09-12,162.9604
2019-09-13,154.6854
2019-09-14,145.7645
2019-09-15,128.8103
2019-09-16,140.7135
2019-09-17,152.9901
2019-09-18,155.9492
2019-09-19,163.7567
2019-09-20,155.3524
2019-09-21,149.7339
2019-09-22,136.1183
2019-09-23,138.3893
2019-09-24,147.9298
2019-09-25,165.9669
2019-09-26,167.7076
2019-09-27,150.1674
2019-09-28,145.8552
2019-09-29,138.5739
2019-09-30,138.1759
2019-10-01,152.7136
2019-10-02,163.3064
2019-10-03,156.9053
2019-10-04,152.2996
2019-10-05,142.3868
2019-10-06,132.4995
2019-10-07,132.5073
2019-10-08,142.5498
2019-10-09,153.8706
2019-10-10,153.752
2019-10-11,153.1505
2019-10-12,139.1345
2019-10-13,126.4975
2019-10-14,136.9898
2019-10-15,142.2863
2019-10-16,151.1513
2019-10-17,155.3514
2019-10-18,147.9213
2019-10-19,140.0464
2019-10-20,127.3258
2019-10-21,134.6195
2019-10-22,144.42
2019-10-23,161.8468
2019-10-24,158.6621
2019-10-25,147.7659
2019-10-26,126.58
2019-10-27,128.6889
2019-10-28,135.3993
2019-10-29,143.1792
2019-10-30,154.9145
2019-10-31,158.9186
2019-11-01,149.0043
2019-11-02,138.4636
2019-11-03,124.6761
2019-11-04,129.9115
2019-11-05,140.0377
2019-11-06,157.3748
2019-11-07,162.788
2019-11-08,154.7262
2019-11-09,133.0878
2019-11-10,126.6223
2019-11-11,131.5668
2019-11-12,139.8545
2019-11-13,147.8446
2019-11-14,155.6961
2019-11-15,145.686
2019-11-16,129.2739
2019-11-17,126.4257
2019-11-18,126.8263
2019-11-19,134.1031
2019-11-20,150.0282
2019-11-21,158.1165
2019-11-22,149.7874
2019-11-23,134.923
2019-11-24,123.9956
2019-11-25,127.8925
2019-11-26,137.5279
2019-11-27,150.115
2019-11-28,149.0953
2019-11-29,148.5108
2019-11-30,128.0895
2019-12-01,128.3557
2019-12-02,116.8844
2019-12-03,134.8173
2019-12-04,148.2964
2019-12-05,154.0914
2019-12-06,146.0596
2019-12-07,127.9111
2019-12-08,124.2945
2019-12-09,127.1229
2019-12-10,134.738
2019-12-11,150.0461
2019-12-12,143.8447
2019-12-13,139.3406
2019-12-14,131.2059
2019-12-15,119.5639
2019-12-16,124.3407
2019-12-17,131.0484
2019-12-18,145.8806
2019-12-19,144.3235
2019-12-20,134.6717
2019-12-21,122.5878
2019-12-22,123.3203
2019-12-23,119.4343
2019-12-24,135.3548
2019-12-25,138.7899
2019-12-26,145.3088
2019-12-27,142.0719
2019-12-28,125.9656
2019-12-29,118.1537
2019-12-30,110.5571
2019-12-31,142.5397
2020-01-01,144.4187
2020-01-02,139.8112
2020-01-03,136.6178
2020-01-04,120.6569
2020-01-05,117.6172
2020-01-06,114.7658
2020-01-07,131.6045
2020-01-08,143.1677
2020-01-09,142.3104
2020-01-10,138.7448
2020-01-11,123.0477
2020-01-12,112.2737
2020-01-13,117.1858
2020-01-14,128.9697
2020-01-15,140.0115
2020-01-16,143.4518
2020-01-17,133.784
2020-01-18,126.4306
2020-01-19,114.2582
2020-01-20,120.4253
2020-01-21,133.0325
2020-01-22,139.5921
2020-01-23,145.6612
2020-01-24,133.5001
2020-01-25,119.0444
2020-01-26,117.4176
2020-01-27,117.6958
2020-01-28,126.9013
2020-01-29,135.4384
